"","time","P","V","Pv","I","gamma_out","lambda_out"
"141",14,0.00369795801441892,1.38203120920571e-05,1.38813215032459e-10,2.4353562263375e-14,2.5e-07,0.025
"142",14.1,0.00355295908510843,1.32807374665733e-05,1.28164182237035e-10,2.24852827962377e-14,2.5e-07,0.025
"143",14.2,0.00341364563922181,1.27621454029697e-05,1.18331279118748e-10,2.07601861246766e-14,2.5e-07,0.025
"144",14.3,0.00327979474621482,1.22637262327698e-05,1.09252049087438e-10,1.91673147878748e-14,2.5e-07,0.025
"145",14.4,0.00315119221674064,1.17847010564856e-05,1.00868804768037e-10,1.76965480421077e-14,2.5e-07,0.025
"146",14.5,0.00302763225990527,1.13243206103822e-05,9.31282649586041e-11,1.63385381678352e-14,2.5e-07,0.025
"147",14.6,0.00290891715396182,1.0881864172198e-05,8.59812194996676e-11,1.5084651674283e-14,2.5e-07,0.025
"148",14.7,0.00279485692991702,1.0456638504704e-05,7.93822193231884e-11,1.39269149211147e-14,2.5e-07,0.025
"149",14.8,0.0026852690675434,1.0047976835997e-05,7.32892895949194e-11,1.28579637918262e-14,2.5e-07,0.025
"150",14.9,0.00257997820331097,9.65523787543686e-06,6.76636646507616e-11,1.1870997190642e-14,2.5e-07,0.025
"151",15,0.00247881584977081,9.27780486415618e-06,6.24695433216501e-11,1.095973411642e-14,2.5e-07,0.025
"152",15.1,0.00238162012594168,8.91508465908456e-06,5.76738629070623e-11,1.01183740082934e-14,2.5e-07,0.025
"153",15.2,0.0022882354982683,8.56650684945309e-06,5.32460901911781e-11,9.34156008129103e-15,2.5e-07,0.025
"154",15.3,0.00219851253173649,8.23152290476162e-06,4.91580282813475e-11,8.62434543784097e-15,2.5e-07,0.025
"155",15.4,0.00211230765074733,7.90960535321329e-06,4.53836382079793e-11,7.96216176903748e-15,2.5e-07,0.025
"156",15.5,0.00202948290936733,7.60024698964148e-06,4.18988741627648e-11,7.35079044863562e-15,2.5e-07,0.025
"157",15.6,0.00194990577058718,7.30296011197638e-06,3.86815312582623e-11,6.78633582380767e-15,2.5e-07,0.025
"158",15.7,0.00187344889423585,7.01727578532051e-06,3.5711104840842e-11,6.26520053283395e-15,2.5e-07,0.025
"159",15.8,0.00179998993321053,6.74274313272482e-06,3.29686605263195e-11,5.78406270399505e-15,2.5e-07,0.025
"160",15.9,0.00172941133769652,6.47892865177971e-06,3.04367141680838e-11,5.33985489703388e-15,2.5e-07,0.025
"161",16,0.00166160016706366,6.22541555615793e-06,2.80991209824041e-11,4.92974465116428e-15,2.5e-07,0.025
"162",16.1,0.00159644790913831,5.98180314126892e-06,2.59409730838202e-11,4.55111650855685e-15,2.5e-07,0.025
"163",16.2,0.00153385030656186,5.74770617320696e-06,2.39485048612839e-11,4.20155541340808e-15,2.5e-07,0.025
"164",16.3,0.00147370718995755,5.52275430019747e-06,2.21090058193577e-11,3.87883142068127e-15,2.5e-07,0.025
"165",16.4,0.00141592231763912,5.30659148576963e-06,2.0410739540571e-11,3.58088547881945e-15,2.5e-07,0.025
