,parameter,equilibrium,nature,complex_eigenvalues,resilience,reactivity,real_eigen_zero,eigenvalue_1,eigenvalue_2,eigenvalue_3,eigenvalue_4
166,1.66E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999834
167,1.67E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999833
168,1.68E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999832
169,1.69E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999831
170,1.70E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799983
171,1.71E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999829
172,1.72E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999828
173,1.73E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999827
174,1.74E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999826
175,1.75E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999825
176,1.76E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999824
177,1.77E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999823
178,1.78E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999822
179,1.79E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999821
180,1.80E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799982
181,1.81E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999819
182,1.82E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999818
183,1.83E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999817
184,1.84E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999816
185,1.85E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999815
186,1.86E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999814
187,1.87E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999813
188,1.88E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999812
189,1.89E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999811
190,1.90E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799981
191,1.91E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999809
192,1.92E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999808
193,1.93E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999807
194,1.94E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999806
195,1.95E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999805
196,1.96E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999804
197,1.97E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999803
198,1.98E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999802
199,1.99E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999801
200,2.00E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.79998
201,2.01E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999799
202,2.02E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999798
203,2.03E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999797
204,2.04E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999796
205,2.05E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999795
206,2.06E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999794
207,2.07E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999793
208,2.08E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999792
209,2.09E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999791
210,2.10E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799979
211,2.11E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999789
212,2.12E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999788
213,2.13E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999787
214,2.14E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999786
215,2.15E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999785
216,2.16E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999784
217,2.17E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999783
218,2.18E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999782
219,2.19E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999781
220,2.20E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.799978
221,2.21E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999779
222,2.22E-08,0,stable,0,-56999.949,-456949.5452,NA,-56999.949,-1.18,-1.0024,-0.7999778
